"PUBID","FP_ADHRISKI","FP_ADPENVRI","FP_ADENRCHI"
1027,-4,-4,-4
1028,700,100,2
1029,425,0,3
1030,-4,-4,-4
1031,525,400,2
1032,625,400,2
1033,525,400,2
1034,700,400,1
1035,-4,-4,-4
1036,500,500,1
1037,850,400,1
1038,625,500,2
1039,600,500,1
1040,-4,-4,-4
1041,-4,-4,-4
1042,425,500,1
1043,-4,-4,-4
1044,325,400,1
1045,-4,-4,-4
1046,625,400,2
1047,-4,-4,-4
1048,325,300,1
1049,500,400,1
1050,-4,-4,-4
1051,200,300,1
1052,500,400,2
1053,-4,-4,-4
1054,200,400,2
1055,400,300,1
1056,-4,-4,-4
1057,-4,-4,-4
1058,425,400,1
1059,300,300,1
1060,0,0,3
1061,625,300,1
1062,-4,-4,-4
1063,700,300,1
1064,-4,-4,-4
1065,-4,-4,-4
1066,500,100,3
1067,300,100,2
1068,200,100,2
1069,0,0,2
1070,-4,-4,-4
1071,0,0,2
1072,-4,-4,-4
1073,-4,-4,-4
1074,0,0,2
1075,100,100,2
1076,200,0,2
1077,0,0,2
1078,100,0,1
1079,-4,-4,-4
1080,100,0,2
1081,0,0,3
1082,0,0,3
1083,-4,-4,-4
1084,0,0,2
1085,-4,-4,-4
1086,-4,-4,2
1087,-4,-4,-4
1088,100,100,3
1089,-4,-4,-4
1090,100,100,3
1091,-4,-4,-4
1092,-4,-4,2
1093,425,0,1
1094,-4,-4,-4
1095,100,300,2
1096,325,400,1
1097,-4,-4,-4
1098,300,100,1
1099,-4,-4,-4
1100,950,0,2
1101,725,300,1
1102,525,400,2
1103,200,100,2
1104,-4,-4,-4
1105,300,200,2
1106,-4,-4,-4
1107,400,200,1
1108,425,300,1
1109,0,100,2
1110,-4,-4,-4
1111,0,0,2
1112,-4,-4,-4
1113,-4,-4,-4
1114,100,100,2
1115,900,0,2
1116,0,0,3
1117,200,100,3
1118,-4,-4,-4
1119,100,100,3
1120,-4,-4,-4
1121,600,0,1
1122,-4,-4,-4
1123,0,0,2
1124,300,0,0
1125,200,0,1
1126,-4,-4,-4
1127,800,0,2
1128,300,0,3
1129,100,100,3
1130,0,100,3
1131,300,300,2
1132,-4,-4,-4
1133,0,0,3
1134,0,0,2
1135,100,100,3
1136,-4,-4,-4
1137,-4,-4,-4
1138,-4,-4,-4
1139,0,0,3
1140,200,0,3
1141,100,200,3
1142,-4,-4,-4
1143,100,0,1
1144,425,0,1
1145,100,0,3
1146,100,0,2
1147,-4,-4,-4
1148,-4,-4,-4
1149,100,0,2
1150,200,0,1
1151,100,0,3
1152,-4,-4,-4
1153,200,0,-4
1154,100,0,2
1155,100,0,2
1156,100,0,2
1157,-4,-4,-4
1158,-4,-4,-4
1159,-4,-4,2
1160,-4,-4,3
1161,-4,-4,-4
1162,-4,-4,-4
1163,0,0,2
1164,-4,-4,2
1165,-4,-4,2
1166,-4,-4,-4
1167,-4,-4,-4
1168,-4,-4,-4
1169,400,0,3
1170,-4,-4,-4
1171,0,100,3
1172,-4,-4,-4
1173,-4,-4,3
1174,0,0,2
1175,100,200,3
1176,100,200,2
1177,-4,-4,2
1178,325,200,1
1179,100,200,2
1180,425,200,1
1181,100,0,2
1182,-4,-4,-4
1183,500,200,1
1184,-4,-4,-4
1185,625,200,2
1186,-4,-4,-4
1187,0,100,2
1188,0,100,2
1189,0,0,2
1190,-4,-4,-4
1191,-4,-4,-4
1192,-4,-4,-4
1193,100,100,2
1194,200,200,2
1195,-4,-4,-4
1196,-4,-4,1
1197,-4,-4,1
1198,-4,-4,-4
1199,1000,200,1
1200,-4,-4,-4
1201,1000,300,1
1202,-4,-4,-4
1203,-4,-4,-4
1204,325,300,2
1205,-4,-4,-4
1206,725,500,1
1207,-4,-4,3
1208,500,100,1
1209,200,300,1
1210,200,300,2
1211,-4,-4,-4
1212,425,400,2
1213,800,500,2
1214,725,600,2
1215,-4,-4,-4
1216,-4,-4,2
1217,-4,-4,-4
1218,100,200,2
1219,425,200,2
1220,-4,-4,-4
1221,-4,-4,-4
1222,200,250,2
1223,-4,-4,-4
1224,-4,-4,-4
1225,-4,-4,-4
1226,-4,-4,-4
1227,0,0,3
1228,-4,-4,-4
1229,0,0,2
1230,0,0,3
1231,-4,-4,-4
1232,0,0,3
1233,200,0,1
1234,0,0,3
1235,100,0,3
1236,100,0,2
1237,100,0,2
1238,100,0,2
1239,200,0,2
1240,0,0,2
1241,-4,-4,-4
1242,300,0,3
1243,100,0,3
1244,-4,-4,-4
1245,-4,-4,-4
1246,-4,-4,-4
1247,0,0,2
1248,0,0,3
1249,-4,-4,-4
1250,100,0,2
1251,-4,-4,-4
1252,300,100,2
1253,100,200,3
1254,-4,-4,3
1255,-4,-4,2
1256,-4,-4,2
1257,200,0,1
1258,300,0,2
1259,300,100,1
1260,500,0,1
1261,-4,-4,-4
1262,0,0,3
1263,0,0,2
1264,100,0,1
1265,-4,-4,-4
1266,-4,-4,3
1267,-4,-4,-4
1268,-4,-4,-4
1269,-4,-4,-4
1270,-4,-4,-4
1271,-4,-4,2
1272,-4,-4,-4
1273,-4,-4,-4
1274,-4,-4,-4
1275,700,0,1
1276,-4,-4,-4
1277,-4,-4,2
1278,0,0,3
1279,0,0,2
1280,200,0,1
1281,0,0,3
1282,-4,-4,-4
1283,100,0,2
1284,-4,-4,-4
1285,-4,-4,-4
1286,0,0,3
1287,425,100,2
